Audit Log - [AuditID: 20250324112935185001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:29:35.186615900, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324112935191002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:29:35.192606500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324113335084001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:33:35.084920700, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324113335091002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:33:35.091884600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324113934391001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:39:34.391867200, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324113934404002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:39:34.404708800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324114418038001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:44:18.041868500, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324114418043002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:44:18.043874700, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324114601120001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:46:01.120803600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324114601130002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:46:01.130861800, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324115659104001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:56:59.108237600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324115659108002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:56:59.108237600, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324115908488001, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:59:08.490656300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
Audit Log - [AuditID: 20250324115908490002, UserID: N001, Action: LOGIN, Target: System, Timestamp: 2025-03-24T11:59:08.490656300, Outcome: SUCCESS, Device: PC1, Role: NURSE]
