Audit Log - [AuditID: 20250328221143056001, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:43.058300100, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221143069002, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:43.069247700, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221143074003, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:43.074263100, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221143079004, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:43.079772600, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221153868005, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:53.869566800, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221153883006, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:53.883948300, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221153889007, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:53.889169200, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221153893008, UserID: PA001, Action: LOGIN, Target: System, Timestamp: 2025-03-28T22:11:53.893378, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221156310009, UserID: PA001, Action: CREATE NEW DISPATCH CASE, Target: 17, Timestamp: 2025-03-28T22:11:56.311858700, Outcome: ONGOING, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221158381010, UserID: PA001, Action: GET EXISTING PATIENT, Target: p008, Timestamp: 2025-03-28T22:11:58.381562500, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
Audit Log - [AuditID: 20250328221159425011, UserID: PA001, Action: ENTER REASON OF PATIENT'S VISIT, Target: sick, Timestamp: 2025-03-28T22:11:59.427140400, Outcome: SUCCESS, Device: PC1, Role: PARAMEDIC]
